id,record_id,pub_id,contrib_id,user_id,record_title,last_edited,year,month,day,status,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name
647,125348650,24208,NULL,1,"Review 2 -- No Title",2020-02-01,1884,NULL,NULL,done,single_focus,"A Lecture on the Glacial Phenomena in the United States",1882,,NULL,"Nonfiction - lecture",,http://viaf.org/viaf/35565057,"G. Frederick Wright"
649,88482567,39141,NULL,4,"A SUPERB BOOK OF INTERIORS",2020-02-19,1915,NULL,NULL,done,cluster,,,,,,,,
652,125272943,24208,NULL,1,"Review 3 -- No Title",2020-02-02,1901,NULL,NULL,done,single_focus,"The Religion of Democracy: A Memorandum of Modern Principles",1901,"Funk & Wagnalls Company",http://viaf.org/viaf/148443438,Nonfiction,$1,http://viaf.org/viaf/305127494,"Charles Ferguson"
657,127429344,24380,NULL,4,"Our Book Table.",2020-02-17,1890,NULL,NULL,done,cluster,,,,,,,,
660,136243777,26663,NULL,3,Literary,2020-02-10,1896,NULL,NULL,done,multi,,,,NULL,,,,
662,124766315,24243,NULL,3,"Review 11 -- No Title",2020-02-11,1897,NULL,NULL,done,single_focus,"One Man Who Was Content",1897,"The Century Company",http://viaf.org/viaf/127849436,Fiction,$1.00,http://viaf.org/viaf/44455381,"Schuyler Van Rensselaer"
671,137534063,24705,NULL,1,"Briefer Notice.",2020-02-02,1896,NULL,NULL,done,multi,,,,NULL,,,,
672,136964116,35617,NULL,2,"President Hadley on Public Morals",2020-02-11,1908,NULL,NULL,done,single_focus,"Standards of Public Morality",1908,"The Macmillan Company",http://viaf.org/viaf/140726562,Nonfiction,$1,http://viaf.org/viaf/27225581,"Arthur Twinning Hadley"
677,125562679,24805,NULL,2,"BOOK REVIEWS.",2020-02-10,1900,NULL,NULL,done,multi,,,,NULL,,,,
685,124900758,24241,NULL,2,"Theological and Religious Literature",2020-02-11,1893,NULL,NULL,done,multi,,,,NULL,,,,
688,124178806,26207,NULL,1,"The Literature of the Day",2020-02-01,1902,NULL,NULL,done,single_focus,Ulysses,1902,Macmillan,http://viaf.org/viaf/140726562,Drama,$1.25,http://viaf.org/viaf/6410920,"Stephen Phillips"
700,90225603,35438,NULL,2,"BOOKS AND AUTHORS.",2020-02-10,1911,NULL,NULL,done,multi,,,,NULL,,,,
